appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
convolutionSeparable,900,500,convolutionRowsKernel,0.902645,0.19956,1181010,1178151,1462570,1179667,9510912,737280,1,36864,320864256,3.1923,3.0994464,43.36336111,43.01112873
convolutionSeparable,900,600,convolutionRowsKernel,0.908058,0.260346,1181124,1174546,1462607,1179667,9510912,737280,1,36864,320864256,2.5352,2.55313866,44.93988889,45.80980891
convolutionSeparable,900,700,convolutionRowsKernel,0.906536,0.30951,1180962,1175318,1462625,1179667,9510912,737280,1,36864,320864256,2.1159,2.162232351,46.545,47.08113128
convolutionSeparable,900,800,convolutionRowsKernel,0.905768,0.356025,1180625,1175118,1462553,1179654,9510912,737280,1,36864,320864256,1.8248,1.8862311,47.74402778,48.30117647
convolutionSeparable,900,900,convolutionRowsKernel,0.905941,0.409479,1180464,1176954,1462713,1179654,9510912,737280,1,36864,320864256,1.6021,1.67019132,48.93566667,49.64111992
convolutionSeparable,900,1000,convolutionRowsKernel,0.907252,0.466452,1180385,1177449,1462645,1179667,9510912,737280,1,36864,320864256,1.4256,1.50713832,50.15911429,51.21843022
convolutionSeparable,1000,500,convolutionRowsKernel,0.897904,0.180504,1181167,1178875,1462537,1179667,9510912,737280,1,36864,320864256,3.2018,3.08523456,45.351,42.20842577
convolutionSeparable,1000,600,convolutionRowsKernel,0.906271,0.23052,1181073,1174619,1462799,1179654,9510912,737280,1,36864,320864256,2.5463,2.53892682,47.06219444,46.67524659
convolutionSeparable,1000,700,convolutionRowsKernel,0.90577,0.283635,1181291,1175160,1462641,1179667,9510912,737280,1,36864,320864256,2.1396,2.148020511,48.5055,49.06383777
convolutionSeparable,1000,800,convolutionRowsKernel,0.904098,0.323695,1180843,1174605,1462634,1179654,9510912,737280,1,36864,320864256,1.8195,1.87201926,49.68494444,49.85131579
