appName,coreF,memF,argNo,kernel,time/ms,blocks,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
convolutionTexture,1900,5000,input00,convolutionRowsKernel,0.272352,(192 128 1) (16 12 1),0.831192,1,0.9862,1.446904,589849,62.904,588969,62.797,1176762,125.46,589837,62.867,0,0,0,0,0.95,2137.7,20054016,1,294912,294912,250085376,0.0861,0,0,62.898,589824,14012925,95,1.270914
fastWalshTransform,1600,3500,input00,fwtBatch1Kernel,5.949129,(4096 1 1) (512 1 1),0.970664,1,0.9836,2.350232,1048607,99.448,1048654,99.365,1048685,99.567,1048589,99.556,3407872,1292.3,3407872,1292.4,0.5,99.411,1048576,1,1638400,1638400,92274688,0.0289,99.545,2097152,99.545,1048576,20126770,307,1.640177
fastWalshTransform,1600,4000,input00,fwtBatch1Kernel,5.159233,(4096 1 1) (512 1 1),0.969128,1,0.9831,2.565127,1048592,107.69,1048661,107.53,1048697,107.81,1048589,107.79,3407872,1404.6,3407872,1403,0.5,107.92,1048576,1,1638400,1638400,92274688,0.0314,108.09,2097152,108.09,1048576,20126769,307,1.788494
fastWalshTransform,1600,4500,input00,fwtBatch1Kernel,4.569237,(4096 1 1) (512 1 1),0.964935,1,0.9814,2.751463,1048626,114.92,1048633,115.23,1048695,115.43,1048589,115.4,3407872,1498.6,3407872,1499.6,0.5,115.35,1048576,1,1638400,1638400,92274688,0.0336,115.42,2097152,115.42,1048576,20126772,307,1.914308
fastWalshTransform,1600,5000,input00,fwtBatch1Kernel,4.130856,(4096 1 1) (512 1 1),0.964153,1,0.9815,2.921938,1048595,122.68,1048757,122.37,1048680,122.68,1048589,122.65,3407872,1591.8,3407872,1597.7,0.5,122.9,1048576,1,1638400,1638400,92274688,0.0356,121.88,2097152,121.88,1048576,20126730,307,2.023084
fastWalshTransform,1700,3500,input00,fwtBatch1Kernel,5.93459,(4096 1 1) (512 1 1),0.970925,1,0.9837,2.34273,1048614,99.62,1048679,99.637,1048717,99.826,1048589,99.794,3407872,1296.4,3407872,1296.9,0.5,99.761,1048576,1,1638400,1638400,92274688,0.0288,99.82,2097152,99.82,1048576,20126777,307,1.637299
fastWalshTransform,1700,4000,input00,fwtBatch1Kernel,5.132423,(4096 1 1) (512 1 1),0.96921,1,0.983,2.564184,1048597,108.6,1048600,108.4,1048678,108.56,1048589,108.55,3407872,1406.8,3407872,1409.7,0.5,108.43,1048576,1,1638400,1638400,92274688,0.0314,108.46,2097152,108.46,1048576,20126720,307,1.779528
fastWalshTransform,1700,4500,input00,fwtBatch1Kernel,4.551505,(4096 1 1) (512 1 1),0.965466,1,0.9816,2.741861,1048601,115.46,1048671,115.51,1048682,115.76,1048589,115.72,3407872,1503.6,3407872,1505.1,0.5,115.78,1048576,1,1638400,1638400,92274688,0.0335,115.79,2097152,115.79,1048576,20126758,307,1.903102
fastWalshTransform,1700,5000,input00,fwtBatch1Kernel,4.112326,(4096 1 1) (512 1 1),0.964394,1,0.9814,2.927651,1048591,122.41,1048694,122.16,1048697,122.45,1048589,122.42,3407872,1593.2,3407872,1591.5,0.5,122.43,1048576,1,1638400,1638400,92274688,0.0355,122.61,2097152,122.61,1048576,20126736,307,2.014914
fastWalshTransform,1800,3500,input00,fwtBatch1Kernel,5.912979,(4096 1 1) (512 1 1),0.970777,1,0.9834,2.33812,1048599,99.556,1048562,99.411,1048682,99.774,1048589,99.753,3407872,1296,3407872,1295.7,0.5,99.669,1048576,1,1638400,1638400,92274688,0.0288,105.83,2097152,105.83,1048576,20126817,307,1.636505
