,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
64,nn,810,715,0.0,0.0,8.00064468383789,4.000049591064453,1.0,0.0,12.000694274902344,28.999305725097656,0.8362700000000001,308.8675174825175,2.69789931047973,0.0,8.0,10.0,0.0
60,nn,1012,715,0.0,0.0,8.000640869140625,4.000049591064453,1.0,0.0,12.000690460205078,28.999309539794922,0.85687,316.73492307692305,3.370708768154922,0.0,8.0,10.0,0.0
61,nn,1202,715,0.0,0.0,8.000747680664062,4.000049591064453,1.0,0.0,12.000797271728516,28.999202728271484,0.8718950000000001,324.13495804195804,4.003549347156341,0.0,8.0,10.0,0.0
62,nn,1328,715,0.0,0.0,8.000720977783203,4.000049591064453,1.0,0.0,12.000770568847656,28.999229431152344,0.879561,329.04234965034965,4.423222573230965,0.0,8.0,10.0,0.0
68,quasirandomGenerator,607,715,0.0,0.0,0.3522135416666667,8596.693359375,0.9337067860794596,0.06629321392054044,8597.045572916666,140962.95442708334,0.405563,300.9611643356643,2.0217591129150567,0.0,0.0,2048.0,0.0
69,quasirandomGenerator,810,715,0.0,0.0,0.2721354166666667,8277.927083333334,0.9586518272376129,0.041348172762387114,8278.19921875,141281.80078125,0.40584000000000003,308.8675174825175,2.69789931047973,0.0,0.0,2048.0,0.0
65,quasirandomGenerator,1012,715,0.0,0.0,0.23177083333333334,8247.119791666666,0.9124483775252346,0.08755162247476544,8247.3515625,141312.6484375,0.406052,316.73492307692305,3.370708768154922,0.0,0.0,2048.0,0.0
66,quasirandomGenerator,1202,715,0.0,0.0,0.15364583333333334,8192.008463541666,0.9308513178842741,0.06914868211572589,8192.162109375,141367.837890625,0.406237,324.13495804195804,4.003549347156341,0.0,0.0,2048.0,0.0
67,quasirandomGenerator,1328,715,0.0,0.0,0.171875,8192.008463541666,0.9329669927074925,0.0670330072925075,8192.180338541666,141367.81966145834,0.40579,329.04234965034965,4.423222573230965,0.0,0.0,2048.0,0.0
73,reduction,607,715,3.125,2.5,4.0001935958862305,0.13662338256835938,1.0,0.0,7.88681697845459,100.23818302154541,0.971082,300.9611643356643,2.0217591129150567,5.625,4.0,0.99609375,0.0
74,reduction,810,715,3.125,2.5,4.0002665519714355,0.1809253692626953,1.0,0.0,7.931191921234131,100.19380807876587,0.967966,308.8675174825175,2.69789931047973,5.625,4.0,0.99609375,0.0
70,reduction,1012,715,3.125,2.5,4.000190258026123,0.19913387298583984,1.0,0.0,7.949324131011963,100.17567586898804,0.966764,316.73492307692305,3.370708768154922,5.625,4.0,0.99609375,0.0
