,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
499,quasirandomGenerator,900,500,0.0,0.0,18.823567708333332,2048.0052083333335,0.9956067584164421,0.004393241583557916,2066.828776041667,35366.171223958336,0.738332,678.3240000000001,17.615268,0.0,0.0,512.0,0.0
500,quasirandomGenerator,900,600,0.0,0.0,0.21614583333333334,2048.00390625,0.9987810173086007,0.0012189826913993063,2048.2200520833335,35384.779947916664,0.738479,611.49,14.276875,0.0,0.0,512.0,0.0
501,quasirandomGenerator,900,700,0.0,0.0,0.23763020833333334,2048.00390625,0.998623692388574,0.001376307611426042,2048.2415364583335,35384.758463541664,0.736559,563.7514285714285,11.990883673469387,0.0,0.0,512.0,0.0
502,quasirandomGenerator,900,800,0.0,0.0,0.166015625,2048.00390625,0.9987650942199734,0.0012349057800266072,2048.169921875,35384.830078125,0.736499,527.9475,10.3302984375,0.0,0.0,512.0,0.0
503,quasirandomGenerator,900,900,0.0,0.0,0.22330729166666666,2048.0130208333335,0.9986192389222054,0.0013807610777946122,2048.236328125,35384.763671875,0.733561,500.1,9.070677777777778,0.0,0.0,512.0,0.0
498,quasirandomGenerator,900,1000,0.0,0.0,0.18619791666666666,2048.00390625,0.9987050304829594,0.0012949695170405562,2048.1901041666665,35384.809895833336,0.733896,477.822,8.083107,0.0,0.0,512.0,0.0
469,quasirandomGenerator,1000,500,0.0,0.0,10.589192708333334,2048.00390625,1.0,0.0,2058.5930989583335,35374.406901041664,0.738384,722.88,19.57252,0.0,0.0,512.0,0.0
470,quasirandomGenerator,1000,600,0.0,0.0,15.491536458333334,2048.00390625,0.999549144368138,0.0004508556318619794,2063.4954427083335,35369.504557291664,0.737921,648.62,15.863194444444444,0.0,0.0,512.0,0.0
471,quasirandomGenerator,1000,700,0.0,0.0,5.991536458333333,2048.00390625,0.9987549672148762,0.0012450327851237786,2053.9954427083335,35379.004557291664,0.737618,595.5771428571429,13.323204081632653,0.0,0.0,512.0,0.0
472,quasirandomGenerator,1000,800,0.0,0.0,32.127604166666664,2048.00390625,0.9864923654541573,0.013507634545842695,2080.1315104166665,35352.868489583336,0.737163,555.7950000000001,11.478109375,0.0,0.0,512.0,0.0
473,quasirandomGenerator,1000,900,0.0,0.0,15.244140625,2048.00390625,0.995567895356135,0.004432104643865009,2063.248046875,35369.751953125,0.732939,524.8533333333334,10.078530864197532,0.0,0.0,512.0,0.0
468,quasirandomGenerator,1000,1000,0.0,0.0,3.5826822916666665,2048.00390625,1.0,0.0,2051.5865885416665,35381.413411458336,0.73324,500.1,8.98123,0.0,0.0,512.0,0.0
511,reduction,500,500,3.125,2.5,4.000343322753906,0.12501144409179688,0.9864462747252036,0.013553725274796369,7.875354766845703,82.2496452331543,0.9340290000000001,500.1,9.78626,5.625,4.0,0.99609375,0.0
